Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,256,3154177,9.23233e+08,27,29.245,4.39674e+08,6004.41,1024,6.05407,54,9,110,54,1,1,150528,1728,9.2244e+07,85162752,2816.18,56.5248,4,3127.71,85162752, 19094427, 19094427, 150528, 4.46008, 85162752, 1161, 1161, 1728, 73352.9, 85162752, 85162752, 3154176, 3154176, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4.5
vgg16,CONV2,256,3154178,2.21776e+10,576,25.9722,4.39674e+08,6004.41,1024,190.703,1152,9,2306,54,1,1,3211264,36864,8.19208e+07,1816805376,2816.18,56.5248,4,3127.71,1816805376, 601474176, 601474176, 3211264, 3.02059, 1816805376, 36297, 36297, 36864, 50053.9, 1816805376, 1816805376, 3154176, 3154176, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 64, 3.04762
vgg16,CONV3,256,1548802,1.09271e+10,575.999,52.7131,4.39674e+08,6004.41,1024,192.437,1152,9,2306,54,1,1,802816,73728,8.16421e+07,892108800,2816.18,56.5248,4,3127.71,892108800, 297973440, 297973440, 802816, 2.99392, 892108800, 72585, 72585, 73728, 12290.5, 892108800, 892108800, 1548800, 1548800, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 64, 3.04762
vgg16,CONV4,256,1562882,2.19148e+10,1141.62,52.0935,4.39674e+08,6004.41,1024,387.928,2304,9,4610,54,1,1,1605632,147456,8.14159e+07,1784217600,2816.18,56.5248,4,3127.71,1784217600, 600676608, 600676608, 1605632, 2.97035, 1784217600, 146313, 146313, 147456, 12194.5, 1784217600, 1784217600, 1548800, 1548800, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 128, 3.02362
vgg16,CONV5,256,760322,1.06585e+10,1131.05,106.118,4.39674e+08,6004.41,1024,395.113,2304,9,4610,54,1,1,401408,294912,8.06836e+07,859963392,2816.18,56.5248,4,3127.71,859963392, 294657408, 294657408, 401408, 2.91852, 859963392, 292617, 292617, 294912, 2938.87, 859963392, 859963392, 746496, 746496, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 128, 3.02362
vgg16,CONV6,256,774147,2.13896e+10,2221.71,103.869,4.39674e+08,6004.41,1024,796.448,4608,9,9218,54,1,1,802816,589824,8.04096e+07,1719926784,2816.18,56.5248,4,3127.71,1719926784, 593955072, 593955072, 802816, 2.89572, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 746496, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
vgg16,CONV7,256,774147,2.13896e+10,2221.71,103.869,4.39674e+08,6004.41,1024,796.448,4608,9,9218,54,1,1,802816,589824,8.04096e+07,1719926784,2816.18,56.5248,4,3127.71,1719926784, 593955072, 593955072, 802816, 2.89572, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 746496, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
vgg16,CONV8,256,372739,1.01241e+10,2139.41,211.319,4.39674e+08,6004.41,1024,827.084,4608,9,9218,54,1,1,200704,1179648,7.87667e+07,797442048,2816.18,56.5248,4,3127.71,797442048, 285083904, 285083904, 200704, 2.79722, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 346112, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
vgg16,CONV9,256,2768899,5.36273e+10,575.999,10.7408,4.39674e+08,6004.41,1024,3456,4608,9,9218,54,1,1,401408,2359296,2.97402e+07,1594884096,2816.18,56.5248,4,3127.71,1594884096, 1593706752, 1593706752, 401408, 1.00074, 1594884096, 798621696, 798621696, 2359296, 1.99705, 1594884096, 1594884096, 346112, 692224, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
vgg16,CONV10,256,2768899,5.36273e+10,575.999,10.7408,4.39674e+08,6004.41,1024,3456,4608,9,9218,54,1,1,401408,2359296,2.97402e+07,1594884096,2816.18,56.5248,4,3127.71,1594884096, 1593706752, 1593706752, 401408, 1.00074, 1594884096, 798621696, 798621696, 2359296, 1.99705, 1594884096, 1594884096, 346112, 692224, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
vgg16,CONV11,256,589827,1.14551e+10,575.997,50.2831,4.39674e+08,6004.41,1024,3456.02,4608,9,9218,54,1,1,100352,2359296,2.96583e+07,339738624,2816.18,56.5248,4,3127.71,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
vgg16,CONV12,256,589827,1.14551e+10,575.997,50.2831,4.39674e+08,6004.41,1024,3456.02,4608,9,9218,54,1,1,100352,2359296,2.96583e+07,339738624,2816.18,56.5248,4,3127.71,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
vgg16,CONV13,256,589827,1.14551e+10,575.997,50.2831,4.39674e+08,6004.41,1024,3456.02,4608,9,9218,54,1,1,100352,2359296,2.96583e+07,339738624,2816.18,56.5248,4,3127.71,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
